ID;ICD-10-Code;ICD-O-Code;ICD-10 Text;Label;Topography Text;Extended Label;Prompt Text
I08784;C00.1;C00.1;Bösartige Neubildung: Äußere Unterlippe;Bösartige Neubildung der äußeren Unterlippe;Äußere Unterlippe;Bösartige Neubildung der äußeren Unterlippe (Äußere Unterlippe);Bösartige Neubildung: Äußere Unterlippe
I28185;C00.1;C00.1;Bösartige Neubildung: Äußere Unterlippe;Bösartige Neubildung der Lippenrotgrenze der Unterlippe;Äußere Unterlippe;Bösartige Neubildung der Lippenrotgrenze der Unterlippe (Äußere Unterlippe);Bösartige Neubildung: Äußere Unterlippe
I03776;C00.1;C00.1;Bösartige Neubildung: Äußere Unterlippe;Bösartige Neubildung der unteren Lippenrotgrenze;Äußere Unterlippe;Bösartige Neubildung der unteren Lippenrotgrenze (Äußere Unterlippe);Bösartige Neubildung: Äußere Unterlippe
I32430;C00.1;C00.1;Bösartige Neubildung: Äußere Unterlippe;Bösartige Neubildung der Unterlippe;Äußere Unterlippe;Bösartige Neubildung der Unterlippe (Äußere Unterlippe);Bösartige Neubildung: Äußere Unterlippe
I71644;C00.1;C00.1;Bösartige Neubildung: Äußere Unterlippe;Bösartige Neubildung des Lippenrots der Unterlippe;Äußere Unterlippe;Bösartige Neubildung des Lippenrots der Unterlippe (Äußere Unterlippe);Bösartige Neubildung: Äußere Unterlippe
I67027;C00.1;C00.1;Bösartige Neubildung: Äußere Unterlippe;Bösartige Neubildung des unteren Lippenstiftbereiches;Äußere Unterlippe;Bösartige Neubildung des unteren Lippenstiftbereiches (Äußere Unterlippe);Bösartige Neubildung: Äußere Unterlippe
I75258;C00.1;C00.1;Bösartige Neubildung: Äußere Unterlippe;Karzinom der äußeren Unterlippe;Äußere Unterlippe;Karzinom der äußeren Unterlippe (Äußere Unterlippe);Bösartige Neubildung: Äußere Unterlippe
I28134;C00.1;C00.1;Bösartige Neubildung: Äußere Unterlippe;Krebs der äußeren Unterlippe;Äußere Unterlippe;Krebs der äußeren Unterlippe (Äußere Unterlippe);Bösartige Neubildung: Äußere Unterlippe
I48404_1;C00.1;C00.1;Bösartige Neubildung: Äußere Unterlippe;Plattenepithelkarzinom der äußeren Unterlippe;Äußere Unterlippe;Plattenepithelkarzinom der äußeren Unterlippe (Äußere Unterlippe);Bösartige Neubildung: Äußere Unterlippe
I67317;C00.1;C00.1;Bösartige Neubildung: Äußere Unterlippe;Plattenepithelkarzinom der Unterlippe;Äußere Unterlippe;Plattenepithelkarzinom der Unterlippe (Äußere Unterlippe);Bösartige Neubildung: Äußere Unterlippe
I13870;C00.1;C00.1;Bösartige Neubildung: Äußere Unterlippe;Unterlippenkarzinom;Äußere Unterlippe;Unterlippenkarzinom (Äußere Unterlippe);Bösartige Neubildung: Äußere Unterlippe
I33522;C00.1;C00.1;Bösartige Neubildung: Äußere Unterlippe;Unterlippenkrebs;Äußere Unterlippe;Unterlippenkrebs (Äußere Unterlippe);Bösartige Neubildung: Äußere Unterlippe
I74165;C00.2;C00.2;Bösartige Neubildung: Äußere Lippe, nicht näher bezeichnet;Bösartige Neubildung der Außenseite der Lippe;Äußere Lippe o.n.A.;Bösartige Neubildung der Außenseite der Lippe (Äußere Lippe ohne nähere Angabe);Bösartige Neubildung: Äußere Lippe, nicht näher bezeichnet (Äußere Lippe ohne nähere Angabe)
I07017;C00.2;C00.2;Bösartige Neubildung: Äußere Lippe, nicht näher bezeichnet;Bösartige Neubildung der Lippenrotgrenze;Äußere Lippe o.n.A.;Bösartige Neubildung der Lippenrotgrenze (Äußere Lippe ohne nähere Angabe);Bösartige Neubildung: Äußere Lippe, nicht näher bezeichnet (Äußere Lippe ohne nähere Angabe)
I84104;C00.2;C00.2;Bösartige Neubildung: Äußere Lippe, nicht näher bezeichnet;Bösartige Neubildung des Lippenrots;Äußere Lippe o.n.A.;Bösartige Neubildung des Lippenrots (Äußere Lippe ohne nähere Angabe);Bösartige Neubildung: Äußere Lippe, nicht näher bezeichnet (Äußere Lippe ohne nähere Angabe)
I67759;C00.2;C00.2;Bösartige Neubildung: Äußere Lippe, nicht näher bezeichnet;Bösartige Neubildung des Lippenstiftbereiches;Äußere Lippe o.n.A.;Bösartige Neubildung des Lippenstiftbereiches (Äußere Lippe ohne nähere Angabe);Bösartige Neubildung: Äußere Lippe, nicht näher bezeichnet (Äußere Lippe ohne nähere Angabe)
I10158;C00.2;C00.2;Bösartige Neubildung: Äußere Lippe, nicht näher bezeichnet;Plattenepithelkarzinom der Außenseite der Lippe;Äußere Lippe o.n.A.;Plattenepithelkarzinom der Außenseite der Lippe (Äußere Lippe ohne nähere Angabe);Bösartige Neubildung: Äußere Lippe, nicht näher bezeichnet (Äußere Lippe ohne nähere Angabe)
I32730;C00.3;C00.3;Bösartige Neubildung: Oberlippe, Innenseite;Bösartige Neubildung der Innenseite der Oberlippe;Schleimhaut der Oberlippe;Bösartige Neubildung der Innenseite der Oberlippe (Schleimhaut der Oberlippe);Bösartige Neubildung: Oberlippe, Innenseite (Schleimhaut der Oberlippe)
I02980;C00.3;C00.3;Bösartige Neubildung: Oberlippe, Innenseite;Bösartige Neubildung der Mundhöhlenseite der Oberlippe;Schleimhaut der Oberlippe;Bösartige Neubildung der Mundhöhlenseite der Oberlippe (Schleimhaut der Oberlippe);Bösartige Neubildung: Oberlippe, Innenseite (Schleimhaut der Oberlippe)
I25729_1;C00.3;C00.3;Bösartige Neubildung: Oberlippe, Innenseite;Bösartige Neubildung der Oberlippenschleimhaut;Schleimhaut der Oberlippe;Bösartige Neubildung der Oberlippenschleimhaut (Schleimhaut der Oberlippe);Bösartige Neubildung: Oberlippe, Innenseite (Schleimhaut der Oberlippe)
I73978;C00.3;C00.3;Bösartige Neubildung: Oberlippe, Innenseite;Bösartige Neubildung der Wangenseite der Oberlippe;Schleimhaut der Oberlippe;Bösartige Neubildung der Wangenseite der Oberlippe (Schleimhaut der Oberlippe);Bösartige Neubildung: Oberlippe, Innenseite (Schleimhaut der Oberlippe)
I91180_1;C00.3;C00.3;Bösartige Neubildung: Oberlippe, Innenseite;Bösartige Neubildung des Frenulums der Oberlippe;Schleimhaut der Oberlippe;Bösartige Neubildung des Frenulums der Oberlippe (Schleimhaut der Oberlippe);Bösartige Neubildung: Oberlippe, Innenseite (Schleimhaut der Oberlippe)
I50126;C00.3;C00.3;Bösartige Neubildung: Oberlippe, Innenseite;Karzinom der inneren Oberlippe;Schleimhaut der Oberlippe;Karzinom der inneren Oberlippe (Schleimhaut der Oberlippe);Bösartige Neubildung: Oberlippe, Innenseite (Schleimhaut der Oberlippe)
I65698;C00.3;C00.3;Bösartige Neubildung: Oberlippe, Innenseite;Krebs der inneren Oberlippe;Schleimhaut der Oberlippe;Krebs der inneren Oberlippe (Schleimhaut der Oberlippe);Bösartige Neubildung: Oberlippe, Innenseite (Schleimhaut der Oberlippe)
I58102;C00.3;C00.3;Bösartige Neubildung: Oberlippe, Innenseite;Plattenepithelkarzinom der Innenseite der Oberlippe;Schleimhaut der Oberlippe;Plattenepithelkarzinom der Innenseite der Oberlippe (Schleimhaut der Oberlippe);Bösartige Neubildung: Oberlippe, Innenseite (Schleimhaut der Oberlippe)
I58623_1;C00.4;C00.4;Bösartige Neubildung: Unterlippe, Innenseite;Bösartige Neubildung der Innenseite der Unterlippe;Schleimhaut der Unterlippe;Bösartige Neubildung der Innenseite der Unterlippe (Schleimhaut der Unterlippe);Bösartige Neubildung: Unterlippe, Innenseite (Schleimhaut der Unterlippe)
I88325;C00.4;C00.4;Bösartige Neubildung: Unterlippe, Innenseite;Bösartige Neubildung der Mundhöhlenseite der Unterlippe;Schleimhaut der Unterlippe;Bösartige Neubildung der Mundhöhlenseite der Unterlippe (Schleimhaut der Unterlippe);Bösartige Neubildung: Unterlippe, Innenseite (Schleimhaut der Unterlippe)
I21852;C00.4;C00.4;Bösartige Neubildung: Unterlippe, Innenseite;Bösartige Neubildung der Unterlippenschleimhaut;Schleimhaut der Unterlippe;Bösartige Neubildung der Unterlippenschleimhaut (Schleimhaut der Unterlippe);Bösartige Neubildung: Unterlippe, Innenseite (Schleimhaut der Unterlippe)
I97755;C00.4;C00.4;Bösartige Neubildung: Unterlippe, Innenseite;Bösartige Neubildung der Wangenseite der Unterlippe;Schleimhaut der Unterlippe;Bösartige Neubildung der Wangenseite der Unterlippe (Schleimhaut der Unterlippe);Bösartige Neubildung: Unterlippe, Innenseite (Schleimhaut der Unterlippe)
I38661;C00.4;C00.4;Bösartige Neubildung: Unterlippe, Innenseite;Bösartige Neubildung des Frenulums der Unterlippe;Schleimhaut der Unterlippe;Bösartige Neubildung des Frenulums der Unterlippe (Schleimhaut der Unterlippe);Bösartige Neubildung: Unterlippe, Innenseite (Schleimhaut der Unterlippe)
I62264;C00.4;C00.4;Bösartige Neubildung: Unterlippe, Innenseite;Karzinom der inneren Unterlippe;Schleimhaut der Unterlippe;Karzinom der inneren Unterlippe (Schleimhaut der Unterlippe);Bösartige Neubildung: Unterlippe, Innenseite (Schleimhaut der Unterlippe)
I50121;C00.4;C00.4;Bösartige Neubildung: Unterlippe, Innenseite;Krebs der inneren Unterlippe;Schleimhaut der Unterlippe;Krebs der inneren Unterlippe (Schleimhaut der Unterlippe);Bösartige Neubildung: Unterlippe, Innenseite (Schleimhaut der Unterlippe)
I49801;C00.4;C00.4;Bösartige Neubildung: Unterlippe, Innenseite;Plattenepithelkarzinom der Innenseite der Unterlippe;Schleimhaut der Unterlippe;Plattenepithelkarzinom der Innenseite der Unterlippe (Schleimhaut der Unterlippe);Bösartige Neubildung: Unterlippe, Innenseite (Schleimhaut der Unterlippe)
I43318;C00.5;C00.5;Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite;Bösartige Neubildung der Innenseite der Lippe;Lippenschleimhaut o.n.A.;Bösartige Neubildung der Innenseite der Lippe (Lippenschleimhaut ohne nähere Angabe);Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite (Lippenschleimhaut ohne nähere Angabe)
I25307;C00.5;C00.5;Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite;Bösartige Neubildung der inneren Lippe;Lippenschleimhaut o.n.A.;Bösartige Neubildung der inneren Lippe (Lippenschleimhaut ohne nähere Angabe);Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite (Lippenschleimhaut ohne nähere Angabe)
I10386;C00.5;C00.5;Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite;Bösartige Neubildung der Lippenschleimhaut;Lippenschleimhaut o.n.A.;Bösartige Neubildung der Lippenschleimhaut (Lippenschleimhaut ohne nähere Angabe);Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite (Lippenschleimhaut ohne nähere Angabe)
I68855;C00.5;C00.5;Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite;Bösartige Neubildung der Mundhöhlenseite einer Lippe;Lippenschleimhaut o.n.A.;Bösartige Neubildung der Mundhöhlenseite einer Lippe (Lippenschleimhaut ohne nähere Angabe);Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite (Lippenschleimhaut ohne nähere Angabe)
I36063;C00.5;C00.5;Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite;Bösartige Neubildung der Wangenseite einer Lippe;Lippenschleimhaut o.n.A.;Bösartige Neubildung der Wangenseite einer Lippe (Lippenschleimhaut ohne nähere Angabe);Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite (Lippenschleimhaut ohne nähere Angabe)
I48064;C00.5;C00.5;Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite;Bösartige Neubildung des Lippenfrenulums;Lippenschleimhaut o.n.A.;Bösartige Neubildung des Lippenfrenulums (Lippenschleimhaut ohne nähere Angabe);Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite (Lippenschleimhaut ohne nähere Angabe)
I53981;C00.5;C00.5;Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite;Karzinom der inneren Lippe;Lippenschleimhaut o.n.A.;Karzinom der inneren Lippe (Lippenschleimhaut ohne nähere Angabe);Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite (Lippenschleimhaut ohne nähere Angabe)
I36580;C00.5;C00.5;Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite;Krebs der inneren Lippe;Lippenschleimhaut o.n.A.;Krebs der inneren Lippe (Lippenschleimhaut ohne nähere Angabe);Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite (Lippenschleimhaut ohne nähere Angabe)
I99294;C00.5;C00.5;Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite;Plattenepithelkarzinom der Innenseite der Lippe;Lippenschleimhaut o.n.A.;Plattenepithelkarzinom der Innenseite der Lippe (Lippenschleimhaut ohne nähere Angabe);Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite (Lippenschleimhaut ohne nähere Angabe)
I52474;C00.6;C00.6;Bösartige Neubildung: Lippenkommissur;Bösartige Neubildung der Lippenkommissur;Lippenkommissur;Bösartige Neubildung der Lippenkommissur;Bösartige Neubildung: Lippenkommissur
I14862;C00.6;C00.6;Bösartige Neubildung: Lippenkommissur;Bösartige Neubildung des Mundwinkels;Lippenkommissur;Bösartige Neubildung des Mundwinkels (Lippenkommissur);Bösartige Neubildung: Lippenkommissur
I09300;C00.6;C00.6;Bösartige Neubildung: Lippenkommissur;Mundwinkelkarzinom;Lippenkommissur;Mundwinkelkarzinom (Lippenkommissur);Bösartige Neubildung: Lippenkommissur
I30479;C00.6;C00.6;Bösartige Neubildung: Lippenkommissur;Mundwinkelkrebs;Lippenkommissur;Mundwinkelkrebs (Lippenkommissur);Bösartige Neubildung: Lippenkommissur
I30985_1;C00.6;C00.6;Bösartige Neubildung: Lippenkommissur;Plattenepithelkarzinom der Lippenkommissur;Lippenkommissur;Plattenepithelkarzinom der Lippenkommissur;Bösartige Neubildung: Lippenkommissur
I18173_1;C00.8;C00.8;Bösartige Neubildung: Lippe, mehrere Teilbereiche überlappend;Plattenepithelkarzinom der Lippe, mehrere Teilbereiche überlappend;Lippe, mehrere Teilbereiche überlappend;Plattenepithelkarzinom der Lippe, mehrere Teilbereiche überlappend;Bösartige Neubildung: Lippe, mehrere Teilbereiche überlappend
I60076;C00.9;C00.9;Bösartige Neubildung: Lippe, nicht näher bezeichnet;Bösartige Neubildung der Lippe;Lippe o.n.A.;Bösartige Neubildung der Lippe (Lippe ohne nähere Angabe);Bösartige Neubildung: Lippe, nicht näher bezeichnet (Lippe ohne nähere Angabe)
I19622;C00.9;C00.9;Bösartige Neubildung: Lippe, nicht näher bezeichnet;Lippenkarzinom;Lippe o.n.A.;Lippenkarzinom (Lippe ohne nähere Angabe);Bösartige Neubildung: Lippe, nicht näher bezeichnet (Lippe ohne nähere Angabe)
I36641;C00.9;C00.9;Bösartige Neubildung: Lippe, nicht näher bezeichnet;Lippenkrebs;Lippe o.n.A.;Lippenkrebs (Lippe ohne nähere Angabe);Bösartige Neubildung: Lippe, nicht näher bezeichnet (Lippe ohne nähere Angabe)
I74079;C00.9;C00.9;Bösartige Neubildung: Lippe, nicht näher bezeichnet;Plattenepithelkarzinom der Lippe;Lippe o.n.A.;Plattenepithelkarzinom der Lippe (Lippe ohne nähere Angabe);Bösartige Neubildung: Lippe, nicht näher bezeichnet (Lippe ohne nähere Angabe)
I78793;C01;C01.9;Bösartige Neubildung des Zungengrundes;Bösartige Neubildung der Dorsalfläche der Zungenbasis;Zungengrund o.n.A.;Bösartige Neubildung der Dorsalfläche der Zungenbasis (Zungengrund ohne nähere Angabe);Bösartige Neubildung des Zungengrundes (Zungengrund ohne nähere Angabe)
I66030;C01;C01.9;Bösartige Neubildung des Zungengrundes;Bösartige Neubildung der Zungenwurzel;Zungengrund o.n.A.;Bösartige Neubildung der Zungenwurzel (Zungengrund ohne nähere Angabe);Bösartige Neubildung des Zungengrundes (Zungengrund ohne nähere Angabe)
I35003;C01;C01.9;Bösartige Neubildung des Zungengrundes;Bösartige Neubildung des fixierten Zungenteils;Zungengrund o.n.A.;Bösartige Neubildung des fixierten Zungenteils (Zungengrund ohne nähere Angabe);Bösartige Neubildung des Zungengrundes (Zungengrund ohne nähere Angabe)
I71516;C01;C01.9;Bösartige Neubildung des Zungengrundes;Bösartige Neubildung des hinteren Drittels der Zunge;Zungengrund o.n.A.;Bösartige Neubildung des hinteren Drittels der Zunge (Zungengrund ohne nähere Angabe);Bösartige Neubildung des Zungengrundes (Zungengrund ohne nähere Angabe)
I27622;C01;C01.9;Bösartige Neubildung des Zungengrundes;Bösartige Neubildung des hinteren Zungenteils;Zungengrund o.n.A.;Bösartige Neubildung des hinteren Zungenteils (Zungengrund ohne nähere Angabe);Bösartige Neubildung des Zungengrundes (Zungengrund ohne nähere Angabe)
I75081;C01;C01.9;Bösartige Neubildung des Zungengrundes;Bösartige Neubildung des unbeweglichen Zungenteils;Zungengrund o.n.A.;Bösartige Neubildung des unbeweglichen Zungenteils (Zungengrund ohne nähere Angabe);Bösartige Neubildung des Zungengrundes (Zungengrund ohne nähere Angabe)
I68846;C01;C01.9;Bösartige Neubildung des Zungengrundes;Bösartige Neubildung des Zungengrundes;Zungengrund o.n.A.;Bösartige Neubildung des Zungengrundes (Zungengrund ohne nähere Angabe);Bösartige Neubildung des Zungengrundes (Zungengrund ohne nähere Angabe)
I13630;C01;C01.9;Bösartige Neubildung des Zungengrundes;Karzinom des fixierten Zungenteils;Zungengrund o.n.A.;Karzinom des fixierten Zungenteils (Zungengrund ohne nähere Angabe);Bösartige Neubildung des Zungengrundes (Zungengrund ohne nähere Angabe)
I25867_1;C01;C01.9;Bösartige Neubildung des Zungengrundes;Zungengrundkarzinom;Zungengrund o.n.A.;Zungengrundkarzinom (Zungengrund ohne nähere Angabe);Bösartige Neubildung des Zungengrundes (Zungengrund ohne nähere Angabe)
I62606;C01;C01.9;Bösartige Neubildung des Zungengrundes;Zungengrundkrebs;Zungengrund o.n.A.;Zungengrundkrebs (Zungengrund ohne nähere Angabe);Bösartige Neubildung des Zungengrundes (Zungengrund ohne nähere Angabe)
I62641_1;C01;C01.9;Bösartige Neubildung des Zungengrundes;Zungenwurzelkarzinom;Zungengrund o.n.A.;Zungenwurzelkarzinom (Zungengrund ohne nähere Angabe);Bösartige Neubildung des Zungengrundes (Zungengrund ohne nähere Angabe)
I57380;C01;C01.9;Bösartige Neubildung des Zungengrundes;Zungenwurzelkrebs;Zungengrund o.n.A.;Zungenwurzelkrebs (Zungengrund ohne nähere Angabe);Bösartige Neubildung des Zungengrundes (Zungengrund ohne nähere Angabe)
I75488;C02.0;C02.0;Bösartige Neubildung: Zungenrücken;Bösartige Neubildung der dorsalen Zunge;Dorsale Oberfläche der Zunge;Bösartige Neubildung der dorsalen Zunge (Dorsale Oberfläche der Zunge);Bösartige Neubildung: Zungenrücken (Dorsale Oberfläche der Zunge)
I42379;C02.0;C02.0;Bösartige Neubildung: Zungenrücken;Bösartige Neubildung der dorsalen Zungenoberfläche;Dorsale Oberfläche der Zunge;Bösartige Neubildung der dorsalen Zungenoberfläche (Dorsale Oberfläche der Zunge);Bösartige Neubildung: Zungenrücken (Dorsale Oberfläche der Zunge)
I83211;C02.0;C02.0;Bösartige Neubildung: Zungenrücken;Bösartige Neubildung der vorderen zwei Drittel der Dorsalfläche der Zunge;Dorsale Oberfläche der Zunge;Bösartige Neubildung der vorderen zwei Drittel der Dorsalfläche der Zunge (Dorsale Oberfläche der Zunge);Bösartige Neubildung: Zungenrücken (Dorsale Oberfläche der Zunge)
I50269;C02.0;C02.0;Bösartige Neubildung: Zungenrücken;Bösartige Neubildung der Zungenmittellinie a.n.k.;Dorsale Oberfläche der Zunge;Bösartige Neubildung der Zungenmittellinie a.n.k. (Dorsale Oberfläche der Zunge);Bösartige Neubildung: Zungenrücken (Dorsale Oberfläche der Zunge)
I99089;C02.0;C02.0;Bösartige Neubildung: Zungenrücken;Bösartige Neubildung des Zungenrückens;Dorsale Oberfläche der Zunge;Bösartige Neubildung des Zungenrückens (Dorsale Oberfläche der Zunge);Bösartige Neubildung: Zungenrücken (Dorsale Oberfläche der Zunge)
I96200;C02.0;C02.0;Bösartige Neubildung: Zungenrücken;Dorsaler Zungenkrebs;Dorsale Oberfläche der Zunge;Dorsaler Zungenkrebs (Dorsale Oberfläche der Zunge);Bösartige Neubildung: Zungenrücken (Dorsale Oberfläche der Zunge)
I16400;C02.0;C02.0;Bösartige Neubildung: Zungenrücken;Dorsales Zungenkarzinom;Dorsale Oberfläche der Zunge;Dorsales Zungenkarzinom (Dorsale Oberfläche der Zunge);Bösartige Neubildung: Zungenrücken (Dorsale Oberfläche der Zunge)
I39135;C02.0;C02.0;Bösartige Neubildung: Zungenrücken;Oberflächliche bösartige Neubildung der dorsalen Zunge;Dorsale Oberfläche der Zunge;Oberflächliche bösartige Neubildung der dorsalen Zunge (Dorsale Oberfläche der Zunge);Bösartige Neubildung: Zungenrücken (Dorsale Oberfläche der Zunge)
I15130;C02.0;C02.0;Bösartige Neubildung: Zungenrücken;Oberflächlicher dorsaler Zungenkrebs;Dorsale Oberfläche der Zunge;Oberflächlicher dorsaler Zungenkrebs (Dorsale Oberfläche der Zunge);Bösartige Neubildung: Zungenrücken (Dorsale Oberfläche der Zunge)
I27033;C02.0;C02.0;Bösartige Neubildung: Zungenrücken;Oberflächliches dorsales Zungenkarzinom;Dorsale Oberfläche der Zunge;Oberflächliches dorsales Zungenkarzinom (Dorsale Oberfläche der Zunge);Bösartige Neubildung: Zungenrücken (Dorsale Oberfläche der Zunge)
I48802;C02.0;C02.0;Bösartige Neubildung: Zungenrücken;Zungenrückenkarzinom;Dorsale Oberfläche der Zunge;Zungenrückenkarzinom (Dorsale Oberfläche der Zunge);Bösartige Neubildung: Zungenrücken (Dorsale Oberfläche der Zunge)
I20774;C02.0;C02.0;Bösartige Neubildung: Zungenrücken;Zungenrückenkrebs;Dorsale Oberfläche der Zunge;Zungenrückenkrebs (Dorsale Oberfläche der Zunge);Bösartige Neubildung: Zungenrücken (Dorsale Oberfläche der Zunge)
I76508;C02.1;C02.1;Bösartige Neubildung: Zungenrand;Bösartige Neubildung der Zungenspitze;Zungenrand;Bösartige Neubildung der Zungenspitze (Zungenrand);Bösartige Neubildung: Zungenrand
I31743;C02.1;C02.1;Bösartige Neubildung: Zungenrand;Bösartige Neubildung des Zungenrandes;Zungenrand;Bösartige Neubildung des Zungenrandes;Bösartige Neubildung: Zungenrand
I75298;C02.1;C02.1;Bösartige Neubildung: Zungenrand;Bösartige Neubildung des Zungenrandes und der Zungenspitze;Zungenrand;Bösartige Neubildung des Zungenrandes und der Zungenspitze;Bösartige Neubildung: Zungenrand
I09622;C02.1;C02.1;Bösartige Neubildung: Zungenrand;Karzinom des Zungenrandes und der Zungenspitze;Zungenrand;Karzinom des Zungenrandes und der Zungenspitze;Bösartige Neubildung: Zungenrand
I28093;C02.1;C02.1;Bösartige Neubildung: Zungenrand;Krebs des Zungenrandes und der Zungenspitze;Zungenrand;Krebs des Zungenrandes und der Zungenspitze;Bösartige Neubildung: Zungenrand
I56550;C02.1;C02.1;Bösartige Neubildung: Zungenrand;Zungenrandkarzinom;Zungenrand;Zungenrandkarzinom;Bösartige Neubildung: Zungenrand
I46760;C02.1;C02.1;Bösartige Neubildung: Zungenrand;Zungenrandkrebs;Zungenrand;Zungenrandkrebs;Bösartige Neubildung: Zungenrand
I09503;C02.2;C02.2;Bösartige Neubildung: Zungenunterfläche;Bösartige Neubildung der ventralen Zungenoberfläche;Ventrale Oberfläche der Zunge o.n.A.;Bösartige Neubildung der ventralen Zungenoberfläche (Ventrale Oberfläche der Zunge ohne nähere Angabe);Bösartige Neubildung: Zungenunterfläche (Ventrale Oberfläche der Zunge ohne nähere Angabe)
I63764;C02.2;C02.2;Bösartige Neubildung: Zungenunterfläche;Bösartige Neubildung der vorderen zwei Drittel der Ventralfläche der Zunge;Ventrale Oberfläche der Zunge o.n.A.;Bösartige Neubildung der vorderen zwei Drittel der Ventralfläche der Zunge (Ventrale Oberfläche der Zunge ohne nähere Angabe);Bösartige Neubildung: Zungenunterfläche (Ventrale Oberfläche der Zunge ohne nähere Angabe)
